RC	0.8541506702
RR	0.8550520506
OUL	0.8559506375
NDE	0.8568433636
EG	0.857735734
IND	0.858627978
THO	0.8595200808
AU	0.8604086935
HOU	0.8612936661
NAL	0.8621748264
CK	0.863052938
EW	0.8639249255
BUT	0.8647954653
HAV	0.8656610352
ULD	0.8665241621
USE	0.8673844031
HAN	0.8682413123
MU	0.8690969715
HIN	0.8699422862
EEN	0.8707762995
CES	0.8716093367
BR	0.872442162
COU	0.8732713344
LAT	0.8740997427
TOR	0.8749251534
ESE	0.8757414191
AGE	0.8765567066
AME	0.8773677843
RIN	0.8781784569
ANC	0.8789889211
TEN	0.8797954467
HEN	0.8805971663
MIN	0.881395221
BI	0.882190998
PT	0.882980691
EAS	0.8837693815
AK	0.8845509909
PU	0.8853314126
CAN	0.8861110957
LIT	0.8868906083
CHA	0.8876684389
OUS	0.888442416
EAT	0.8892157515
END	0.8899767076
SSI	0.8907327181
UI	0.8914878556
IAL	0.8922415906
LES	0.892993709
REN	0.8937440596
TIV	0.894491726
NTS	0.8952383202
WHE	0.8959849142
TAT	0.8967306151
ABL	0.8974756281
RG	0.8982204645
IB	0.8989565623
TL	0.8996915127
DIS	0.9004258675
NY	0.9011568484
KI	0.901887538
RAN	0.902617378
RK	0.9033417663
WOR	0.904064801
YS	0.9047876807
OB	0.9055093552
ROU	0.9062308518
LIN	0.906950445
HAD	0.9076696895
SED	0.908387771
ONT	0.9091051834
PLE	0.9098224923
MM	0.9105396741
FU	0.9112561534
UGH	0.9119714672
INC	0.912678469
SIO	0.9133845449
DIN	0.9140899112
PH	0.9147945589
OG	0.9154964757
RAL	0.916195745
UST	0.9168910671
MS	0.9175840924
YE	0.918275889
TAN	0.9189603796
NAT	0.9196444996
INS	0.9203276049
UD	0.9210099424
ASS	0.9216884076
PLA	0.9223665488
VEN	0.9230446429
ELL	0.9237225027
MB	0.9243962852
SHE	0.9250680535
OSE	0.9257394837
ITE	0.9264104668
LLY	0.9270797103
REC	0.9277485107
IP	0.9284144971
LAN	0.9290777846
UB	0.9297390613
ARD	0.9303977237
HEY	0.9310548747
RIE	0.9317113855
OI	0.9323664691
POS	0.9330188884
EME	0.9336690893
MOR	0.9343170967
RL	0.9349610865
DEN	0.9356043227
OUG	0.9362471552
TTE	0.9368882552
GU	0.9375285483
DR	0.9381664556
NED	0.9388037731
RIT	0.9394374261
HR	0.9400674397
IME	0.9406965656
SIN	0.9413179223
CC	0.9419385727
AST	0.9425581442
ANY	0.9431740792
ORM	0.9437895383
NDI	0.9444049914
TW	0.9450199229
ONA	0.9456347372
SPE	0.9462486148
ENE	0.9468616402
HEI	0.9474741402
RIC	0.948085279
FT	0.9486949261
ICE	0.9493024926
ORD	0.9499079184
OMP	0.9505123254
NES	0.9511165788
SEN	0.9517200432
TIM	0.9523233816
TRI	0.9529256811
ERN	0.9535260246
TES	0.9541228382
POR	0.9547195618
APP	0.9553154363
WN	0.9559051006
NU	0.9564922033
LAR	0.957076516
NTR	0.9576600974
EIR	0.9582436321
SHO	0.95882623
SON	0.9594008029
CAT	0.9599744201
LLE	0.9605477857
NER	0.9611209768
HES	0.9616936858
WHO	0.9622656437
MAT	0.9628368533
ASE	0.9634072566
KIN	0.9639769604
OST	0.9645462044
BER	0.9651128024
ITS	0.9656792281
NIN	0.9662455511
LEA	0.9668098544
INA	0.9673699497
MPL	0.9679297277
STO	0.9684893191
ARI	0.9690448977
PRI	0.9695994049
OWN	0.9701538824
AF	0.9707078604
ALI	0.9712617355
REE	0.9718121154
HU	0.9723622523
ISH	0.9729114242
DES	0.9734583384
EAD	0.9740037943
NST	0.9745477656
SIT	0.9750911275
NN	0.9756343362
SES	0.976176615
EO	0.976717851
ANS	0.9772542599
HAS	0.9777884387
VO	0.9783192736
GRE	0.9788492449
ONG	0.9793791436
ALS	0.9799087473
FIC	0.9804377015
UAL	0.9809662441
IEN	0.9814944681
GEN	0.9820217867
SER	0.9825478758
UNT	0.9830727709
ECO	0.9835974398
NTA	0.9841213202
ACE	0.9846450047
CHI	0.9851679514
FER	0.985690881
TAL	0.986213195
LOW	0.9867347973
ACH	0.9872555128
IRE	0.9877757269
ANG	0.9882954412
SSE	0.9888145853
GRA	0.989333283
MON	0.9898510393
RV	0.9903682585
FFE	0.9908851589
RAC	0.9914005635
SEL	0.991915447
UNI	0.9924298815
AKE	0.9929443092
ARY	0.9934561826
WIL	0.9939677045
LED	0.9944790869
DED	0.9949894416
SOM	0.9954955959
OWE	0.9959992241
HAR	0.9965027328
NF	0.9970042555
INI	0.9975050833
OPE	0.998004976
XP	0.9985041331
NGE	0.9990032168
UCH	0.9995019522
REL	1
